"date","user_id","user_question","bot_answer","bucket","reason","full_conversation"
"2026-06-08","_User$1Apd9jl6jc","Can i use niacinamide serum","Sorry, I couldn’t find the right answer. But no worries — we can schedule a call with the doctor. You’ll get a call within 2 hours or tomorrow after 9 AM. ","NO_ANSWER","",""
"2026-06-08","_User$1Ff24dBPrn","Mj dobara siski test karana hai","माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।","NO_ANSWER","",""
"2026-06-08","_User$1hGrszUd9x","Chasing ha fas par","माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।","NO_ANSWER","",""
"2026-06-08","_User$1mQTHcIivt","Main bacchon ko dudh pilati Hun to Koi nuksan to nahin Hai","माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।","NO_ANSWER","",""
"2026-06-08","_User$1mQTHcIivt","Main bacchon ko dudh bhi pila rahi hun to Koi nuksan to nahin Hai aur agar penis ko reject karna chahte hain to fir kaise karen abhi nahin kharidna chahte","माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।","NO_ANSWER","",""
"2026-06-08","_User$2COISrDmKP","Can I mustak face apply my face","Sorry, I couldn’t find the right answer. But no worries — we can schedule a call with the doctor. You’ll get a call within 2 hours or tomorrow after 9 AM. ","NO_ANSWER","",""
"2026-06-08","_User$2jlX8JoMm0","Mujhe apni mummy ka chehra bhi dikhana","माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।","NO_ANSWER","",""
"2026-06-08","_User$3KMW6DXtAH","Muje genetic hai","माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।","NO_ANSWER","",""
"2026-06-08","_User$3XUSRR1Fnr","Ai mujhe ek healthy diet chaiye kya aap meri ek regular diet ready kr do","माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।","NO_ANSWER","",""
"2026-06-08","_User$3v7H5R3xBM","मेरे कोई उत्तर नहीं है मैंने कभी कोई चीज नहीं खाई थी किसी से भी","माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।","NO_ANSWER","",""
"2026-06-08","_User$4PweW5diCG","Iam not enter product using","Sorry, I couldn’t find the right answer. But no worries — we can schedule a call with the doctor. You’ll get a call within 2 hours or tomorrow after 9 AM. ","NO_ANSWER","",""
"2026-06-08","_User$4PweW5diCG","Masterbation se face koi problem ata hai kya","Sorry, I couldn't find the exact answer. We've already scheduled a doctor call for you—please ask your question during the call. Is there anything else I can help you with?","NO_ANSWER","",""
"2026-06-08","_User$551xhsseWX","Can I  use glutathione","Sorry, I couldn’t find the right answer. But no worries — we can schedule a call with the doctor. You’ll get a call within 2 hours or tomorrow after 9 AM. ","NO_ANSWER","",""
"2026-06-08","_User$5MCpZxa0AH","I have newborn is any side effect will be their","Sorry, I couldn't find the exact answer. We've already scheduled a doctor call for you—please ask your question during the call. Is there anything else I can help you with?","NO_ANSWER","",""
