date,user_id,user_question,bot_answer,bucket,reason,full_conversation
2026-06-22,_User$0UHsStGUN8,Kay mam kuchh km nhi hoga,"माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।",NO_ANSWER,,
2026-06-22,_User$0uFfKzE9iT,Photho dilett,"माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।",NO_ANSWER,,
2026-06-22,_User$13nHbntn91,Agar dhoka huwa to,"Sorry, I couldn’t find the right answer. But no worries — we can schedule a call with the doctor. You’ll get a call within 2 hours or tomorrow after 9 AM. ",NO_ANSWER,,
2026-06-22,_User$16oooZ7Gnz,Ise kitne mahine vahan per hai,"माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।",NO_ANSWER,,
2026-06-22,_User$1FXGj5oKGL,Peat mai gas hai,"माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।",NO_ANSWER,,
2026-06-22,_User$1FXGj5oKGL,Nahi body ban Raha hai,"माफ़ कीजिए, मैं आपका सही जवाब नहीं ढूंढ पाया। हमने आपके लिए पहले से ही डॉक्टर कॉल शेड्यूल कर दी है — कृपया अपना सवाल कॉल के दौरान पूछें। क्या मैं आपकी किसी और तरह से मदद कर सकता/सकती हूँ?",NO_ANSWER,,
2026-06-22,_User$2DKAMlrml7,But me yana tablet nhi le pati hu,"Sorry, I couldn’t find the right answer. But no worries — we can schedule a call with the doctor. You’ll get a call within 2 hours or tomorrow after 9 AM. ",NO_ANSWER,,
2026-06-22,_User$2EWpD9Dpxr,I mustarbrate many times in a day does it affect skin,"Sorry, I couldn’t find the right answer. But no worries — we can schedule a call with the doctor. You’ll get a call within 2 hours or tomorrow after 9 AM. ",NO_ANSWER,,
2026-06-22,_User$2qCqTdE9Q5,Result nahin mila to,"माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।",NO_ANSWER,,
2026-06-22,_User$3cYDfCKqk6,My a,"Sorry, I couldn’t find the right answer. But no worries — we can schedule a call with the doctor. You’ll get a call within 2 hours or tomorrow after 9 AM. ",NO_ANSWER,,
